id,popularity,budget,revenue,runtime,vote_count,vote_average,release_year,budget_adj,revenue_adj,genre_encoded,month of release
2779,0.446532,0,0,103,77,6.1,2001,0,0,3,8
11091,0.443923,48000000,35743308,132,54,6.4,2001,59111429.6,44017459.05,3,10
10706,0.4396,10000000,0,82,19,4.5,2001,12314881.17,0,11,7
12610,0.439101,75000000,13596911,95,128,5.6,2001,92361608.75,16744434.32,1,8
10778,0.438395,0,0,116,153,7.1,2001,0,0,4,5
10796,0.427875,49000000,0,87,259,5.5,2001,60342917.72,0,0,11
9104,0.427146,15000000,0,98,45,6.6,2001,18472321.75,0,6,9
24940,0.421293,14000000,10424470,86,43,5.3,2001,17240833.63,12837610.93,3,2
10491,0.414765,0,15705007,119,41,5.9,2001,0,19340529.49,13,1
9799,0.414311,38000000,207283925,106,2505,6.4,2001,46796548.43,255267690.4,0,6
441,0.40848,6000000,705308,96,30,5.7,2001,7388928.7,868578.4206,6,5
9816,0.405522,13000000,91038276,112,194,6.4,2001,16009345.52,112112555.1,6,1
19076,0.403778,0,0,118,12,5.3,2001,0,0,6,11
9517,0.400459,0,480811,113,52,6.3,2001,0,592113.0329,4,6
59940,0.390268,0,0,93,10,4,2001,0,0,17,10
1999,0.390152,1700000,0,130,33,5.6,2001,2093529.798,0,6,11
10054,0.386262,35000000,147934180,88,467,5.5,2001,43102084.08,182179184.7,0,3
5955,0.38279,35000000,29400000,123,84,6.1,2001,43102084.08,36205750.63,4,1
13403,0.382563,0,0,95,43,7.2,2001,0,0,3,7
9991,0.381873,0,0,99,80,6.1,2001,0,0,3,12
3172,0.381751,75000000,67631903,123,173,6.1,2001,92361608.75,83287884.85,0,10
11090,0.380227,22000000,84772742,84,145,4.5,2001,27092738.57,104396624.4,0,6
7501,0.379856,15000000,12000000,92,46,5.7,2001,18472321.75,14777857.4,4,9
14543,0.363073,0,0,123,44,6.5,2001,0,0,5,11
56715,0.356425,0,0,88,95,4.7,2001,0,0,3,4
10691,0.541416,13000000,16929123,99,57,6.6,2001,16009345.52,20848013.8,6,6
16229,0.352726,0,0,95,36,6,2001,0,0,6,9
28171,0.350862,0,0,85,11,4.5,2001,0,0,6,5
10477,0.20867,94000000,54744738,116,90,4.8,2001,115759883,67417494.3,0,4
14369,0.348262,24000000,14782676,89,28,6.1,2001,29555714.8,18204689.83,3,11
11845,0.362592,0,0,119,15,6.5,2001,0,0,14,1
27601,0.333096,500000,0,109,11,6.3,2001,615744.0583,0,3,11
5764,0.318067,0,0,88,27,5.7,2001,0,0,0,3
13496,0.328665,35000000,13678913,94,26,5.8,2001,43102084.08,16845418.81,0,8
9740,0.324227,87000000,351692268,131,772,6.3,2001,107139466.2,433104848.8,4,2
11456,0.323191,75000000,54249294,89,50,5.4,2001,92361608.75,66807360.9,13,10
14782,0.321852,0,0,111,14,6.5,2001,0,0,17,9
2084,0.318495,13000000,0,93,51,6.1,2001,16009345.52,0,3,9
19405,0.501163,10000000,44460850,83,42,6.5,2001,12314881.17,54753008.43,2,1
26290,0.300784,0,0,107,10,7,2001,0,0,6,11
4965,0.300216,40000000,0,102,54,5.9,2001,49259524.67,0,0,12
32577,0.298712,0,0,93,18,5.6,2001,0,0,0,6
20755,0.293357,0,0,83,18,4.7,2001,0,0,3,6
9523,0.293121,0,0,121,19,6.2,2001,0,0,4,10
21597,0.286107,1500000,0,90,10,5.6,2001,1847232.175,0,3,6
13503,0.283553,0,0,110,10,5.6,2001,0,0,0,11
51532,0.282381,0,0,91,10,5.4,2001,0,0,1,7
12660,0.278317,0,741394,121,14,5.4,2001,0,913017.9008,6,12
24478,0.457617,0,0,93,27,4.4,2001,0,0,3,12
26602,0.299969,34000000,19693891,108,35,4.8,2001,41870595.97,24252792.74,6,8
2171,0.274314,5000000,295206,97,163,6.5,2001,6157440.583,363542.681,3,7
10984,0.274027,0,0,96,51,4.9,2001,0,0,11,2
31002,0.27279,7000000,0,92,13,3.6,2001,8620416.817,0,0,1
11088,0.272619,35000000,0,107,62,6.5,2001,43102084.08,0,0,11
6935,0.272562,0,0,90,82,5.9,2001,0,0,0,4
38975,0.271443,0,0,174,11,6,2001,0,0,1,12
4012,0.353327,1500000,416925,98,78,6.8,2001,1847232.175,513438.1831,6,1
34549,0.269944,12000000,17292381,86,18,5.3,2001,14777857.4,21295361.71,3,10
23685,0.263042,75000000,5409517,93,37,4,2001,92361608.75,6661755.903,1,2
39180,0.258176,0,0,94,26,4.8,2001,0,0,0,3
16550,0.257859,0,0,87,22,5.8,2001,0,0,3,11
50035,0.251798,250000,4186931,91,10,6.3,2001,307872.0292,5156155.772,3,8
20536,0.25108,0,0,129,24,5.8,2001,0,0,6,4
18976,0.249357,0,0,177,41,6.2,2001,0,0,18,1
10615,0.241272,0,0,81,19,5.8,2001,0,0,0,6
57047,0.20342,0,0,96,13,6.5,2001,0,0,0,8
17708,0.239869,11000000,23978402,86,20,4.4,2001,13546369.28,29529117.12,0,10
12312,0.227672,38000000,0,99,14,5.5,2001,46796548.43,0,3,12
1783,0.507235,0,0,108,13,6.3,2001,0,0,0,9
32593,0.224439,0,0,93,25,5.6,2001,0,0,16,10
11889,0.223151,0,0,91,21,5.7,2001,0,0,6,12
31010,0.221355,0,0,177,10,6,2001,0,0,16,1
11469,0.906593,0,0,95,153,5.4,2001,0,0,1,11
9648,0.216654,0,0,97,11,5.7,2001,0,0,3,10
26976,0.213105,0,0,99,14,5.8,2001,0,0,6,2
15601,0.210756,0,0,75,29,6.7,2001,0,0,2,10
331,0.167033,93000000,368780809,92,1366,5.6,2001,114528394.9,454149183.9,1,7
15192,0.209655,0,0,108,16,5.6,2001,0,0,6,9
19366,0.209579,22000000,0,98,39,5.2,2001,27092738.57,0,3,4
